SUPERNOVA,REDSHIFT,MOD_DIST,MOD_DIST ERR
2006ot,0.0522,366.743.146.094,0.189117803003
2006qo,0.0308,355.935.042.223,0.172493084423
2006s,0.0329,359.417.685.428,0.170393175896
2006sr,0.023,350.706.425.048,0.186848384979
2006td,0.015,343.797.728.047,0.217348534701
2006te,0.0321,358.703.618.342,0.1737410077
2007ae,0.0643,371.755.022.179,0.166008010074
2007ai,0.032,358.266.913.419,0.193104691662
2007au,0.0209,347.028.984.995,0.19422693515
2007bc,0.0219,348.489.904.808,0.188387184264
2007bd,0.032,355.884.973.241,0.173446310936
2007ca,0.0151,345.258.752.881,0.213682160531
2007ci,0.0192,344.915.623.332,0.197091647943
2007co,0.0266,353.234.935.897,0.177716836428
2007cp,0.0377,357.952.144.325,0.294106560612
2007cq,0.0247,349.136.928.277,0.181621011598
2007f,0.0242,351.893.805.829,0.180174916343
2007o,0.0366,359.712.906.539,0.168963687947
2007qe,0.0229,351.386.260.702,0.183018039949
2007r,0.0312,358.828.585.622,0.173762463024
2007s,0.015,341.114.109.643,0.213388869977
2008af,0.0341,35.770.474.764,0.177569140796
2008bf,0.0251,349.482.752.367,0.179222700336
2008l,0.0189,343.747.016.599,0.209571630196
2004ef,0.029802136901,354.709.217.104,0.122226817874
2004gc,0.0321340168614,353.781.278.853,0.127512090116
2004gs,0.0275687259109,354.754.718.132,0.128117983088
2004gu,0.0469673346156,364.944.134.465,0.110309142172
2005a,0.0183152320362,343.717.548.996,0.160464926406
2005ag,0.0800481440021,376.857.093.353,0.101968492144
2005bg,0.0241852990802,35.052.324.275,0.133368622118
2005bo,0.0150270427632,339.501.915.023,0.178117024083
2005eq,0.0283960268116,355.481.484.694,0.125198881719
2005hc,0.0449766726113,365.503.954.158,0.108342547225
2005iq,0.0329123710881,359.678.520.173,0.118114324121
2005ir,0.0753501119815,375.800.899.168,0.102274672969
2005ki,0.0203747245299,346.564.438.473,0.145603349944
2005m,0.0229711675782,35.133.882.951,0.135640926041
2005na,0.0268091974805,352.601.505.395,0.127879595703
2006ax,0.0179312833626,343.498.200.027,0.155413940574
2006eq,0.0483921953954,366.858.343.824,0.119215628214
2006py,0.0566833670752,369.636.230.671,0.110070937939
2005kt,0.0638640836964,373.159.416.121,0.119614965162
10106,0.146290296068,395.590.095.488,0.120248735474
2005ez,0.129278206634,389.180.009.489,0.134402615626
2005lk,0.102715033935,384.872.595.888,0.119892508421
2005ll,0.242504680476,401.304.465.537,0.150915056663
2005lf,0.29840927363,410.624.002.336,0.21581859647
2005ku,0.0437189114895,363.865.660.158,0.127214292529
2005ml,0.113042644637,385.514.541.276,0.119237437717
2005jb,0.256475742725,406.108.439.003,0.156286225391
2005fc,0.295585550063,411.370.597.018,0.215064876219
2005mm,0.380359487336,41.657.498.659,0.217910527631
2005ln,0.145668547261,39.056.715.703,0.125750126249
2005mo,0.273454768884,407.271.582.441,0.163668270948
2005lo,0.297518833561,407.722.050.136,0.205185826917
2005lq,0.378965802039,415.814.889.023,0.197094007682
1166,0.380416514286,412.723.405.299,0.198558434394
2005lp,0.301755029535,414.938.104.959,0.246761480943
2005mq,0.348345020835,413.077.915.312,0.217774889061
2005ff,0.0856894593607,379.974.134.061,0.116365280048
2005fd,0.260586108317,405.231.676.777,0.141595051803
2005fe,0.215543320953,402.965.294.236,0.140207657342
2005fh,0.117625328764,385.794.185.081,0.113609962836
2005gj,0.18221823956,395.938.188.438,0.119334463704
1688,0.357507357032,413.288.394.045,0.202587682493
2005fj,0.141787999126,392.738.113.329,0.119521982693
2005fo,0.260533476953,408.081.341.413,0.148279348857
2005fl,0.232781107182,402.045.290.903,0.15178836784
2005fm,0.151857894665,39.155.788.359,0.113847311938
2005fn,0.0939086318905,381.728.205.141,0.117952906116
2005fr,0.286618706522,410.384.076.468,0.133800275646
2005fy,0.194316512142,399.615.200.415,0.126373844923
2005ey,0.147025138268,393.035.839.668,0.111657296738
2005fp,0.2115869815,405.603.236.924,0.159324733885
2005ft,0.180119779968,396.385.777.035,0.115560254718
2005fi,0.263491026592,407.673.226.085,0.127293080139
2005fu,0.192149980044,400.392.178.782,0.121087443202
2005fs,0.338802609134,413.053.718.801,0.170908367946
2005fv,0.117277362889,387.459.338.248,0.113702596154
2005fw,0.1424046524,391.164.772.511,0.113661193986
2005fa,0.160861854636,393.191.758.892,0.11864489981
2005fx,0.288418344585,408.427.853.587,0.149598782119
2005fz,0.12282889997,387.997.897.008,0.12106543913
2005go,0.263647950642,405.481.756.685,0.139823620366
2005gp,0.126473161901,387.104.691.761,0.119200794649
2005ga,0.172742230556,395.029.361.421,0.113458015916
2005gc,0.163795894987,393.945.630.608,0.113134872307
2005gs,0.249511054792,407.809.243.328,0.132323047466
2005gh,0.257740303509,406.514.783.957,0.135891055781
2005hn,0.106712340103,386.366.669.013,0.117621429285
2005gd,0.159889937748,393.505.845.262,0.114747057769
2005ge,0.204979685349,400.245.002.346,0.123526942937
2005gr,0.244378876797,402.019.303.938,0.124309900698
2005gf,0.248508130676,402.721.746.838,0.125645589328
2005gg,0.228528473881,402.544.336.386,0.12201137132
2005gb,0.0858546441437,379.524.441.212,0.112589853288
2005ho,0.0618357646938,371.309.944.806,0.115680071342
2005gt,0.277853422619,408.380.084.515,0.168994207516
2005gw,0.275440197435,40.743.391.802,0.142941615821
4064,0.155247328221,393.173.204.059,0.115415755865
2005gu,0.330512448683,412.279.390.018,0.156723683034
2005gv,0.361934308832,413.844.533.517,0.166441914984
2005gy,0.33063462833,410.522.598.891,0.152699339448
2005gx,0.144621085972,39.290.829.773,0.112727024487
2005gq,0.389288787688,416.026.284.289,0.200867575788
2005hp,0.173910056566,395.319.411.053,0.128967775815
2005hs,0.300312695802,408.468.481.928,0.15150098613
2005hr,0.116348502599,387.461.381.651,0.112296117135
2005hu,0.218585189041,401.990.974.567,0.117113950953
2005hx,0.119671538006,387.555.381.178,0.110740033634
2005hy,0.154632097239,393.239.502.295,0.112047393667
2005hw,0.408319092164,41.840.293.526,0.206369618511
2005hv,0.177600694977,40.070.675.851,0.12481415503
2005ia,0.25066763111,407.456.030.264,0.120970959661
2005jz,0.251740186424,405.417.217.599,0.118440110682
5737,0.391599213441,415.087.271.022,0.171564315895
2005hz,0.128726735467,388.642.253.068,0.109513340257
2005hq,0.399601334976,417.288.003.127,0.205132433748
2005ic,0.309492645411,410.181.924.732,0.134960171498
2005is,0.170628396749,39.474.900.116,0.116376625267
2005ie,0.278924676328,407.678.297.655,0.130157044183
2005it,0.308580866071,409.076.217.053,0.177652782589
2005ht,0.18581244671,398.240.975.844,0.120667757481
2005if,0.0664403123402,373.721.050.548,0.1175824014
2005ka,0.316429844695,413.950.733.806,0.192866122248
2005ih,0.257497888297,405.941.645.935,0.131393591319
2005iv,0.298777444088,410.293.579.818,0.154536935815
2005jy,0.270434442827,40.668.983.836,0.145477928824
2005ig,0.27945473261,405.012.843.665,0.138724732909
2005ii,0.292469756082,40.919.048.654,0.141400626542
2005jk,0.188853175387,397.920.374.862,0.119741860505
2005ix,0.265762479518,404.981.499.217,0.124803942242
2005ij,0.124273528772,38.719.986.901,0.111134858876
2005id,0.182548913397,397.840.215.634,0.114083136974
2005jd,0.312883364158,410.144.487.771,0.139506514174
2005ik,0.309547337158,411.925.567.238,0.154012332803
2005iu,0.0890194292939,378.284.529.286,0.117432705446
2005iy,0.402459619216,419.111.467.578,0.211278493994
2005iz,0.200611719928,398.523.918.219,0.132867364384
2005ja,0.326396483203,40.972.304.176,0.144388065833
2005jc,0.211629598493,399.801.047.509,0.115235180715
2005jl,0.17968564077,397.209.599.451,0.116984880342
2005je,0.0931494026855,38.280.913.725,0.114453830019
2005jg,0.30240162108,41.033.200.098,0.134910116135
2005jh,0.108638265524,386.505.001.979,0.119489654857
2005ed,0.0856961170652,379.937.917.107,0.117971237872
2005jm,0.202608679897,399.677.592.554,0.128807331127
2005kn,0.196716068579,399.244.173.787,0.134983153598
2005ei,0.12668798909,389.152.084.322,0.123937308071
2005ji,0.214568258658,402.018.496.659,0.11698744578
2005jn,0.320446988861,41.102.785.135,0.134380311167
2005jo,0.218347445403,402.208.498.377,0.124421502953
2005eg,0.189706566951,399.395.625.109,0.119682792229
2005ex,0.0929368181997,381.458.300.404,0.118950355954
2005jw,0.379662293575,414.330.618.932,0.147219740299
2005jp,0.210938395061,39.983.937.734,0.120818770577
2005jj,0.366602898789,418.598.572.351,0.198404429556
2005jv,0.420926821103,421.335.480.049,0.202321001311
2005ju,0.258028270562,406.446.788.667,0.137108498782
2005ko,0.183568404877,397.107.958.033,0.123775734742
2005mi,0.212548765094,400.875.932.773,0.13157696281
2005jt,0.360034211989,411.573.004.359,0.175048186524
2005mh,0.393974478272,417.811.534.223,0.150707319622
2005kp,0.11471262087,38.669.095.116,0.113372328428
2005ld,0.143705907,391.857.706.544,0.116311967547
2005le,0.252486060029,405.184.210.801,0.145050195669
2005kq,0.387297107465,418.924.653.292,0.18642986619
2005lg,0.348583857544,413.009.410.359,0.177371887871
2005li,0.255490620022,404.859.446.261,0.150967373278
2005lh,0.216582821954,403.602.717.031,0.152479838933
1996e,0.43,413.188.581.715,0.357827626062
1996h,0.62,432.279.620.233,0.390344663066
1996i,0.57,424.891.103.591,0.388952633173
1996j,0.3,409.627.951.522,0.314865571912
1996k,0.38,42.063.176.534,0.327833114422
1996u,0.43,423.985.415.069,0.458327873977
1995ao,0.24,407.421.915.815,0.402844159873
1997ce,0.44,420.495.332.736,0.319794878908
1997cj,0.5,423.630.032.623,0.317337166801
1997ck,0.97,428.212.038.325,0.805210302782
1995k,0.479,423.517.577.625,0.358136299792
1997ap,0.83,435.424.034.366,0.471046842772
1997am,0.416,424.236.170.407,0.556342333092
1997aj,0.581,42.063.423.278,0.505033960368
1997ai,0.45,418.319.918.495,0.453701962845
1997af,0.579,431.863.633.442,0.643297806625
1997ac,0.32,412.446.034.516,0.420998113276
1997r,0.657,429.752.487.173,0.658728481435
1997q,0.43,417.661.368.295,0.608328916424
1997p,0.472,419.691.632.564,0.514472850425
1997o,0.374,431.851.146.804,0.923198713714
1997n,0.18,401.895.173.161,0.445447560867
1997l,0.55,443.434.675.429,100.681.218.041
1997k,0.592,441.523.548.256,0.717963493004
1997i,0.172,393.022.260.063,0.429709120635
1997h,0.526,419.560.808.598,0.513679185483
1997g,0.763,444.724.245.942,0.898163121417
1997f,0.58,433.051.250.139,0.519962251252
1996cn,0.43,418.019.360.973,0.458804990654
1996cm,0.45,422.709.731.768,0.589947886789
1996ck,0.656,431.448.591.059,0.627202505766
1996ci,0.495,421.189.081.538,0.443653473108
1996cg,0.49,417.874.349.383,0.446484505947
1996cf,0.57,426.714.667.124,0.470382088569
1995ba,0.388,422.076.140.366,0.465017827284
1995az,0.45,424.024.477.254,0.508290617768
1995ay,0.48,421.599.485.926,0.521420422571
1995ax,0.615,42.542.636.608,0.556222743429
1995aw,0.4,423.127.671.586,0.477589020966
1995at,0.655,423.150.852.482,0.497081624743
1995as,0.498,429.837.202.371,0.642406504117
1995ar,0.465,418.251.633.017,0.600030636232
1995aq,0.453,428.212.084.765,0.524912951846
1994g,0.425,412.021.312.228,0.489149082777
2002ad,0.514,427.861.936.213,0.493735911043
2002ab,0.423,415.655.258.816,0.243579000627
2002x,0.859,440.929.026.019,0.296965045086
2001kd,0.936,433.071.058.635,0.705981399741
2001jp,0.528,424.543.495.693,0.24429067529
2001jm,0.978,435.000.721.647,0.292647301809
2001jh,0.885,441.843.333.063,0.286230184051
2001jf,0.815,440.744.016.007,0.728921730286
2001jb,0.698,43.768.728.686,0.433480217975
2001iy,0.568,427.092.496.229,0.289546896784
2001ix,0.711,435.665.495.646,0.366725181041
2001iw,0.3396,410.839.733.838,0.226527941211
2001iv,0.3965,414.879.207.897,0.202374999057
2001hy,0.812,436.535.732.762,0.379016341937
2001hx,0.799,433.788.294.006,0.233174228134
2001hu,0.882,433.750.389.271,0.583987119465
2001hs,0.833,436.880.978.478,0.520913245917
2001fs,0.874,43.295.379.241,0.388089303157
2001fo,0.772,435.099.938.279,0.218834770025
1999dr,0.178,39.454.790.821,0.235746048095
1999du,0.26,408.233.657.709,0.199851735971
1999dv,0.186,397.121.679.254,0.189043139487
1999dx,0.269,407.761.617.315,0.25640063853
1999dy,0.215,403.780.576.732,0.193933997767
2000fr,0.543,424.788.058.506,0.0981414342081
1998bi,0.75,43.242.998.687,0.138318457637
1998be,0.64,427.642.472.749,0.18880937743
1998ba,0.43,421.841.242.053,0.148171058429
1998ay,0.64,431.643.806.938,0.193749016644
1998ax,0.497,423.245.530.903,0.167980194286
1998aw,0.44,420.106.475.331,0.107484807666
1998as,0.355,413.423.115.755,0.20146843402
1997ez,0.78,436.008.071.703,0.171318833305
1997eq,0.54,424.246.212.672,0.111551880919
1997ek,0.86,439.216.606.703,0.172411965167
03D4au,0.468,425.489.037.371,0.1639147706
04D4bk,0.84,438.731.031.943,0.222348502282
04D3nr,0.96,436.132.116.082,0.275514631381
04D3lu,0.8218,438.153.639.621,0.21320698395
04D3ki,0.93,435.524.295.782,0.289918379066
04D3gt,0.451,417.966.744.145,0.143055821894
04D3do,0.61,42.904.965.712,0.156248253322
04D3cp,0.83,440.506.599.335,0.208835355956
04D2gp,0.707,432.824.256.201,0.256253916455
04D2fp,0.415,418.767.704.643,0.141093702805
04D1ag,0.557,425.570.112.027,0.157456031152
03D4fd,0.791,435.768.811.197,0.201343679161
03D4cz,0.695,432.117.042.607,0.20544919439
03D4at,0.633,430.498.635.302,0.169957137727
03D3bh,0.2486,406.111.853.429,0.154515955385
03D3af,0.532,425.658.156.596,0.166651053217
03D1fc,0.331,410.784.700.501,0.137704766569
03D1bp,0.346,413.646.268.615,0.15221324645
04D4dw,0.961,442.642.016.168,0.340056560686
04D4an,0.613,429.937.246.636,0.165096720419
04D3nh,0.3402,413.280.915.278,0.135546197344
04D3lp,0.983,441.572.843.671,0.43499764107
04D3is,0.71,430.220.388.098,0.184280954678
04D3fq,0.73,4.327.699.552,0.194894052413
04D3df,0.47,421.345.594.858,0.15323960172
04D3co,0.62,430.092.526.047,0.169564685824
04D2gc,0.521,421.801.294.521,0.160996803083
04D2cf,0.369,416.340.230.154,0.152644121885
03D4gl,0.571,423.991.620.661,0.174223963618
03D4dy,0.604,42.526.976.481,0.15968704969
03D4cy,0.9271,439.404.978.712,0.286707554506
03D4ag,0.285,408.542.434.728,0.136594130276
03D3ba,0.2912,408.390.642.775,0.146624503178
03D1gt,0.548,422.962.985.563,0.18837089341
03D1ew,0.868,434.932.874.061,0.24609516526
03D1ax,0.496,422.146.760.288,0.152814539841
04D4dm,0.811,434.045.360.216,0.210619526441
04D3oe,0.756,438.139.921.904,0.192775955331
04D3nc,0.817,436.515.637.361,0.210286863572
04D3ks,0.752,433.018.298.804,0.207071436502
04D3hn,0.5516,423.031.837.333,0.149254872779
04D3fk,0.3578,414.349.095.934,0.136096151868
04D3dd,1.01,440.124.745.362,0.375672417143
04D2ja,0.741,437.172.522.874,0.223286859678
04D2gb,0.43,418.109.207.973,0.15108214332
04D1ak,0.526,424.002.106.795,0.16694309723
03D4gg,0.592,425.773.227.618,0.172394047168
03D4di,0.905,436.387.400.062,0.25746754741
